ReferenceNumber,Make,PropulsionTypeId,BodyTypeId,GovRegion,KeeperTitleId,EngineSize,YearRegistered,Mass,CO2,CO,NOX,part,hc,Random number
440,VAUXHALL,1,96,London,1,1598,2002,1970,190,0.219,0.026,,0.037,0.591232376
1465,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.86924214
3434,VOLKSWAGEN,1,14,South West,2,1395,2016,1316,113,0.242,0.033,,0.048,0.450935294
1801,VAUXHALL,1,14,South West,4,1598,2016,1355,159,0.809,0.012,,0.051,0.909892978
2330,BMW,2,13,South West,5,1995,2016,1445,114,0.18,0.023,,,0.793771628
2216,FORD,2,6,South West,5,1499,2016,1425,98,0.354,0.074,,,0.622448078
1323,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.336193091
1396,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.289026041
264,TOYOTA,1,14,London,4,1998,2002,1440,212,0.76,0.04,,0.08,0.952072655
2971,VOLKSWAGEN,2,6,South West,5,2967,2016,2185,174,0.138,0.039,,,0.921650334
1846,VAUXHALL,1,14,London,2,1398,2016,1199,137,0.645,0.008,,0.044,0.149278239
2707,FORD,2,14,North West,5,1499,2016,1399,98,0.354,0.074,,,0.105487223
2419,VAUXHALL,2,6,South West,5,1598,2016,1393,89,0.268,0.047,,,0.083705058
3809,FORD,2,14,South West,5,1997,2016,1681,122,0.145,0.059,0.001,,0.866836726
1720,VAUXHALL,1,14,North West,2,1598,2016,1355,159,0.809,0.012,,0.051,0.877256521
3330,TOYOTA,8,14,South West,5,1798,2016,1470,82,0.182,0.005,,0.036,0.870187411
1151,FORD,1,6,South West,2,1988,2002,1282,222,0.698,0.058,,0.056,0.687189501
371,VOLKSWAGEN,1,14,London,1,1390,2002,1220,180,0.096,0.064,,0.092,0.42178551
321,BMW,1,2,South West,1,2171,2002,1600,237,0.832,0.005,,0.091,0.572723511
1953,VAUXHALL,1,13,London,2,1398,2016,1141,118,0.463,0.01,,0.031,0.892230971
2362,VAUXHALL,1,14,London,2,1398,2016,1163,120,0.463,0.01,,0.031,0.147841637
689,VAUXHALL,1,14,North West,2,1598,2002,1680,197,0.357,0.029,,0.044,0.900188385
548,FORD,1,13,London,2,1299,2002,965,163,0.66,0.037,,0.09,0.0702559
